No,frame,x,y
0.0,1.0,142.0,148.0
1.0,1.0,140.0,156.0
2.0,1.0,139.0,166.0
3.0,1.0,141.0,176.0
4.0,1.0,143.0,186.0
5.0,1.0,145.0,196.0
6.0,1.0,150.0,204.0
7.0,1.0,158.0,208.0
8.0,1.0,168.0,208.0
9.0,1.0,180.0,205.0
10.0,1.0,193.0,202.0
11.0,1.0,205.0,197.0
12.0,1.0,215.0,191.0
13.0,1.0,221.0,181.0
14.0,1.0,224.0,170.0
15.0,1.0,224.0,157.0
16.0,1.0,225.0,144.0
17.0,1.0,144.0,128.0
18.0,1.0,145.0,123.0
19.0,1.0,147.0,120.0
20.0,1.0,152.0,119.0
21.0,1.0,156.0,120.0
22.0,1.0,167.0,117.0
23.0,1.0,175.0,112.0
24.0,1.0,184.0,110.0
25.0,1.0,192.0,113.0
26.0,1.0,199.0,119.0
27.0,1.0,160.0,129.0
28.0,1.0,158.0,135.0
29.0,1.0,156.0,140.0
30.0,1.0,154.0,145.0
31.0,1.0,154.0,158.0
32.0,1.0,156.0,159.0
33.0,1.0,159.0,159.0
34.0,1.0,163.0,157.0
35.0,1.0,167.0,155.0
36.0,1.0,147.0,137.0
37.0,1.0,148.0,132.0
38.0,1.0,153.0,131.0
39.0,1.0,157.0,134.0
40.0,1.0,153.0,136.0
41.0,1.0,149.0,137.0
42.0,1.0,176.0,129.0
43.0,1.0,179.0,124.0
44.0,1.0,184.0,123.0
45.0,1.0,190.0,126.0
46.0,1.0,185.0,128.0
47.0,1.0,180.0,129.0
48.0,1.0,154.0,181.0
49.0,1.0,153.0,172.0
50.0,1.0,157.0,168.0
51.0,1.0,160.0,168.0
52.0,1.0,163.0,166.0
53.0,1.0,171.0,168.0
54.0,1.0,179.0,174.0
55.0,1.0,173.0,175.0
56.0,1.0,167.0,177.0
57.0,1.0,163.0,178.0
58.0,1.0,160.0,180.0
59.0,1.0,156.0,181.0
60.0,1.0,156.0,179.0
61.0,1.0,158.0,173.0
62.0,1.0,161.0,172.0
63.0,1.0,164.0,171.0
64.0,1.0,177.0,173.0
65.0,1.0,165.0,173.0
66.0,1.0,162.0,174.0
67.0,1.0,159.0,175.0
